Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Brand_Encoded
150.0,4.0,64,4280.0,12.0,2
120.0,3.0,32,5580.0,5.0,2
210.0,8.0,128,6580.0,13.0,2
120.0,2.0,32,5580.0,8.0,2
150.0,4.0,32,8580.0,13.0,2
260.0,4.0,64,8580.0,16.0,2
190.0,8.0,128,4380.0,20.0,2
120.0,3.0,64,4280.0,13.0,2
130.0,4.0,64,4780.0,13.0,2
480.0,8.0,128,8380.0,50.0,2
300.0,8.0,128,8380.0,50.0,2
160.0,4.0,64,6580.0,13.0,2
140.0,3.0,32,6580.0,5.0,2
220.0,6.0,128,13000.0,12.0,2
300.0,8.0,128,8500.0,48.0,6
140.0,4.0,64,5400.0,13.0,6
230.0,8.0,128,8500.0,16.0,6
190.0,6.0,128,6380.0,20.0,6
120.0,3.0,16,4350.0,13.0,6
350.0,8.0,128,8500.0,48.0,6
90.0,2.0,16,4350.0,8.0,6
130.0,2.0,32,5400.0,8.0,6
440.0,8.0,256,6000.0,64.0,6
130.0,3.0,64,4350.0,13.0,6
350.0,8.0,256,6000.0,64.0,6
470.0,8.0,256,6000.0,48.0,6
120.0,4.0,64,4200.0,12.0,6
170.0,6.0,64,5180.0,20.0,6
190.0,6.0,128,5180.0,48.0,6
350.0,8.0,128,8500.0,48.0,6
100.0,3.0,16,4200.0,8.0,6
370.0,8.0,256,12000.0,64.0,6
280.0,8.0,128,12000.0,48.0,6
340.0,8.0,256,6350.0,48.0,6
140.0,8.0,128,8300.0,13.0,6
200.0,8.0,256,8300.0,16.0,6
330.0,8.0,256,10800.0,108.0,6
270.0,12.0,256,10800.0,108.0,6
60.0,12.0,256,22000.0,108.0,6
250.0,8.0,128,6000.0,108.0,6
100.0,3.0,16,4200.0,8.0,6
130.0,4.0,64,4200.0,12.0,6
330.0,15.0,256,8580.0,20.0,6
460.0,12.0,256,6000.0,64.0,6
300.0,12.0,256,22000.0,108.0,6
420.0,12.0,256,10800.0,108.0,6
180.0,8.0,128,4200.0,50.0,6
110.0,8.0,256,4200.0,50.0,6
180.0,6.0,128,6600.0,8.0,6
270.0,8.0,128,7500.0,13.0,6
240.0,4.0,128,5060.0,13.0,6
130.0,4.0,128,6580.0,8.0,6
240.0,8.0,128,10800.0,20.0,6
320.0,12.0,256,10800.0,50.0,6
150.0,4.0,128,5000.0,64.0,27
90.0,2.0,32,6000.0,16.0,27
130.0,4.0,64,5000.0,16.0,27
160.0,4.0,128,5000.0,48.0,27
210.0,6.0,128,5000.0,64.0,27
280.0,8.0,128,5000.0,64.0,27
140.0,4.0,64,7000.0,48.0,27
470.0,8.0,256,4700.0,50.0,27
100.0,4.0,64,6000.0,48.0,27
80.0,2.0,32,5000.0,13.0,27
70.0,1.0,16,4000.0,5.0,27
90.0,3.0,32,5000.0,16.0,27
170.0,4.0,128,5000.0,48.0,27
200.0,8.0,128,5000.0,48.0,27
390.0,8.0,256,4750.0,64.0,27
100.0,4.0,64,5000.0,50.0,27
150.0,4.0,128,5000.0,48.0,27
60.0,1.0,16,2400.0,5.0,27
80.0,2.0,32,5000.0,8.0,27
150.0,4.0,128,5000.0,48.0,27
160.0,4.0,64,6000.0,13.0,27
270.0,8.0,128,6000.0,50.0,27
90.0,2.0,32,5000.0,13.0,27
120.0,4.0,64,5000.0,50.0,27
