Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
Doogee,200.0,8.0,256,8300.0,16.0
Doogee,330.0,8.0,256,10800.0,108.0
Doogee,270.0,12.0,256,10800.0,108.0
Doogee,60.0,12.0,256,22000.0,108.0
Doogee,250.0,8.0,128,6000.0,108.0
Doogee,100.0,3.0,16,4200.0,8.0
Doogee,130.0,4.0,64,4200.0,12.0
Doogee,330.0,15.0,256,8580.0,20.0
Doogee,460.0,12.0,256,6000.0,64.0
Doogee,300.0,12.0,256,22000.0,108.0
Doogee,420.0,12.0,256,10800.0,108.0
Doogee,180.0,8.0,128,4200.0,50.0
Doogee,110.0,8.0,256,4200.0,50.0
Doogee,180.0,6.0,128,6600.0,8.0
Doogee,270.0,8.0,128,7500.0,13.0
Doogee,240.0,4.0,128,5060.0,13.0
Doogee,130.0,4.0,128,6580.0,8.0
Doogee,240.0,8.0,128,10800.0,20.0
Doogee,320.0,12.0,256,10800.0,50.0
Tecno,150.0,4.0,128,5000.0,64.0
Tecno,90.0,2.0,32,6000.0,16.0
Tecno,130.0,4.0,64,5000.0,16.0
Tecno,160.0,4.0,128,5000.0,48.0
Tecno,210.0,6.0,128,5000.0,64.0
Tecno,280.0,8.0,128,5000.0,64.0
Tecno,140.0,4.0,64,7000.0,48.0
Tecno,470.0,8.0,256,4700.0,50.0
Tecno,100.0,4.0,64,6000.0,48.0
Tecno,80.0,2.0,32,5000.0,13.0
Tecno,70.0,1.0,16,4000.0,5.0
Tecno,90.0,3.0,32,5000.0,16.0
Tecno,170.0,4.0,128,5000.0,48.0
Tecno,200.0,8.0,128,5000.0,48.0
Tecno,390.0,8.0,256,4750.0,64.0
Tecno,100.0,4.0,64,5000.0,50.0
Tecno,150.0,4.0,128,5000.0,48.0
Tecno,60.0,1.0,16,2400.0,5.0
Tecno,80.0,2.0,32,5000.0,8.0
Tecno,150.0,4.0,128,5000.0,48.0
Tecno,160.0,4.0,64,6000.0,13.0
Tecno,270.0,8.0,128,6000.0,50.0
Tecno,90.0,2.0,32,5000.0,13.0
Tecno,120.0,4.0,64,5000.0,50.0
Tecno,130.0,4.0,64,5000.0,48.0
Tecno,100.0,3.0,32,6000.0,8.0
Tecno,70.0,2.0,32,4000.0,8.0
Tecno,60.0,2.0,32,3020.0,5.0
Tecno,100.0,1.0,16,4000.0,5.0
Tecno,150.0,4.0,64,7000.0,50.0
Tecno,120.0,2.0,32,5000.0,5.0
Tecno,200.0,8.0,128,5000.0,64.0
Tecno,180.0,4.0,64,5000.0,13.0
Tecno,120.0,3.0,64,5000.0,13.0
Tecno,120.0,4.0,64,5000.0,50.0
Tecno,80.0,2.0,32,5000.0,8.0
Tecno,190.0,4.0,128,6000.0,50.0
Tecno,240.0,4.0,64,7000.0,16.0
Tecno,460.0,8.0,256,5160.0,64.0
Tecno,130.0,3.0,64,5000.0,13.0
Ulefone,440.0,8.0,128,5500.0,48.0
Ulefone,80.0,2.0,16,4000.0,13.0
Ulefone,250.0,4.0,128,5500.0,48.0
Ulefone,110.0,4.0,32,4000.0,13.0
Ulefone,70.0,2.0,16,2700.0,8.0
Ulefone,550.0,8.0,128,6600.0,64.0
Ulefone,120.0,4.0,64,4500.0,16.0
Ulefone,200.0,4.0,64,5580.0,16.0
Ulefone,70.0,2.0,16,2700.0,5.0
Ulefone,110.0,4.0,64,5000.0,13.0
Ulefone,290.0,8.0,128,6600.0,64.0
Ulefone,130.0,4.0,64,5080.0,13.0
Ulefone,420.0,8.0,128,5800.0,64.0
Ulefone,120.0,2.0,32,5500.0,8.0
Ulefone,160.0,8.0,128,4500.0,48.0
Ulefone,480.0,8.0,256,5200.0,48.0
Ulefone,190.0,6.0,128,5580.0,16.0
Ulefone,590.0,8.0,256,5200.0,48.0
