Brand,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Price_Clean,Storage_Category
HTC,1.0,8.0,2000.0,13.0,250.0,1
HTC,2.0,16.0,2000.0,13.0,180.0,1
HTC,1.0,16.0,2000.0,8.0,160.0,1
HTC,2.0,16.0,2600.0,13.0,200.0,1
HTC,1.0,8.0,2100.0,8.0,190.0,1
HTC,1.0,8.0,2100.0,8.0,180.0,1
HTC,2.0,16.0,6700.0,8.0,300.0,1
HTC,1.0,8.0,2600.0,13.0,260.0,1
HTC,2.0,16.0,2600.0,13.0,260.0,1
HTC,2.0,16.0,2400.0,13.0,380.0,1
HTC,1.0,8.0,2040.0,8.0,240.0,1
HTC,1.0,16.0,2600.0,13.0,260.0,1
HTC,2.0,16.0,2600.0,13.0,320.0,1
HTC,2.0,16.0,2600.0,13.0,340.0,1
HTC,2.0,16.0,2600.0,13.0,350.0,1
HTC,1.0,8.0,2100.0,5.0,200.0,1
HTC,2.0,32.0,2600.0,4.0,300.0,1
HTC,2.0,32.0,2600.0,4.0,300.0,1
HTC,2.0,32.0,2700.0,13.0,250.0,1
HTC,5.0,16.0,2100.0,13.0,280.0,1
HTC,2.0,16.0,2600.0,4.0,300.0,1
HTC,1.0,4.0,1950.0,5.0,160.0,1
HTC,2.0,16.0,2600.0,13.0,420.0,1
HTC,1.0,16.0,2110.0,13.0,250.0,1
HTC,1.0,4.0,2000.0,8.0,180.0,1
HTC,2.0,32.0,2600.0,4.0,250.0,1
HTC,2.0,32.0,2600.0,4.0,250.0,1
HTC,1.0,4.0,2000.0,5.0,150.0,1
HTC,5.0,8.0,2600.0,13.0,250.0,1
HTC,5.0,8.0,2600.0,13.0,250.0,1
HTC,1.0,8.0,2040.0,8.0,200.0,1
HTC,1.0,8.0,2100.0,8.0,190.0,1
HTC,1.0,8.0,2100.0,8.0,220.0,1
HTC,1.0,8.0,2100.0,8.0,250.0,1
HTC,1.0,4.0,2100.0,5.0,270.0,1
HTC,1.0,8.0,2100.0,8.0,240.0,1
HTC,2.0,32.0,3300.0,4.0,370.0,1
HTC,1.0,8.0,2100.0,5.0,230.0,1
HTC,1.0,4.0,1800.0,8.0,180.0,1
HTC,1.0,16.0,1800.0,4.0,240.0,1
HTC,1.0,8.0,1800.0,8.0,170.0,1
HTC,2.0,16.0,3200.0,4.0,300.0,1
HTC,1.0,8.0,1860.0,8.0,290.0,1
HTC,1.0,16.0,2000.0,5.0,200.0,1
